year,country_code,country_code_letter,HDI_value,dollar_per_capita
2015,144,LKA,0.76,8.8
2015,152,CHL,0.846,31.04
2015,156,CHN,0.741,20.22
2015,170,COL,0.758,401.55
2015,174,COM,0.556,0.0
2015,178,COG,0.61,528.76
2015,180,COD,0.457,0.02
2015,188,CRI,0.792,0.76
2015,191,HRV,0.844,337.36
2015,196,CYP,0.874,351.51
2015,203,CZE,0.891,438.34
2015,204,BEN,0.509,2.0
2015,208,DNK,0.936,930.27
2015,214,DOM,0.739,39.65
2015,218,ECU,0.764,409.56
2015,222,SLV,0.663,17.51
2015,231,ETH,0.455,0.0
2015,233,EST,0.883,1169.76
2015,242,FJI,0.716,221.78
2015,246,FIN,0.93,736.65
2015,251,FRA,0.893,219.39
2015,258,PYF,,0.02
2015,266,GAB,0.692,2189.95
2015,268,GEO,0.798,36.62
2015,270,GMB,0.467,0.04
2015,275,PSE,0.71,0.37
2015,276,DEU,0.941,364.44
2015,288,GHA,0.586,104.03
2015,296,KIR,0.625,8.28
2015,300,GRC,0.881,779.13
2015,304,GRL,,0.02
2015,308,GRD,0.786,0.62
2015,320,GTM,0.629,27.53
2015,324,GIN,0.449,0.29
2015,328,GUY,0.686,0.13
2015,340,HND,0.61,0.08
2015,344,HKG,0.936,99.63
2015,348,HUN,0.839,235.26
2015,352,ISL,0.948,229.91
2015,360,IDN,0.698,132.36
2015,364,IRN,0.782,420.06
2015,368,IRQ,0.656,1312.48
2015,372,IRL,0.924,182.4
2015,376,ISR,0.899,60.54
2015,380,ITA,0.881,243.76
2015,384,CIV,0.501,64.42
2015,388,JAM,0.712,69.38
2015,392,JPN,0.913,89.51
2015,398,KAZ,0.799,1720.82
2015,400,JOR,0.738,1.07
2015,404,KEN,0.575,13.05
2015,410,KOR,0.908,649.3
2015,414,KWT,0.829,12643.81
2015,417,KGZ,0.689,12.45
2015,418,LAO,0.604,0.77
2015,422,LBN,0.756,3.71
2015,426,LSO,0.508,0.2
2015,428,LVA,0.853,445.6
2015,440,LTU,0.865,1426.0
2015,442,LUX,0.914,106.76
2015,446,MAC,,0.07
2015,450,MDG,0.499,2.49
2015,454,MWI,0.498,0.06
2015,458,MYS,0.792,1055.82
2015,462,MDV,0.728,0.09
2015,470,MLT,0.887,3389.0
2015,478,MRT,0.536,20.14
2015,480,MUS,0.791,4.86
2015,484,MEX,0.769,185.91
2015,496,MNG,0.739,313.77
2015,498,MDA,0.749,3.55
2015,499,MNE,0.827,83.73
2015,504,MAR,0.656,12.47
2015,508,MOZ,0.445,37.75
