year,country_code,country_code_letter,HDI_value,dollar_per_capita
2015,426,LSO,0.508,0.09
2015,428,LVA,0.853,958.53
2015,440,LTU,0.865,330.42
2015,442,LUX,0.914,406.32
2015,446,MAC,,1.1
2015,450,MDG,0.499,0.24
2015,454,MWI,0.498,0.61
2015,458,MYS,0.792,120.52
2015,470,MLT,0.887,1.03
2015,480,MUS,0.791,0.86
2015,484,MEX,0.769,3.42
2015,496,MNG,0.739,0.14
2015,498,MDA,0.749,2.65
2015,499,MNE,0.827,53.51
2015,504,MAR,0.656,0.44
2015,508,MOZ,0.445,1.82
2015,512,OMN,0.824,3.05
2015,516,NAM,0.627,13.74
2015,524,NPL,0.568,0.04
2015,528,NLD,0.932,83.41
2015,533,ABW,,0.34
2015,540,NCL,,8.04
2015,554,NZL,0.933,535.5
2015,558,NIC,0.644,2.29
2015,562,NER,0.367,0.0
2015,566,NGA,0.52,0.24
2015,579,NOR,0.952,109.55
2015,585,PLW,0.782,11.27
2015,586,PAK,0.525,0.21
2015,591,PAN,0.802,10.64
2015,600,PRY,0.738,11.88
2015,604,PER,0.758,4.89
2015,608,PHL,0.696,27.61
2015,616,POL,0.869,97.88
2015,620,PRT,0.85,71.58
2015,624,GNB,0.47,22.28
2015,634,QAT,0.852,9.27
2015,642,ROU,0.813,100.93
2015,643,RUS,0.823,43.65
2015,646,RWA,0.509,0.05
2015,659,KNA,0.829,0.22
2015,662,LCA,0.736,0.98
2015,670,VCT,0.777,0.18
2015,678,STP,0.595,0.02
2015,682,SAU,0.842,1.53
2015,686,SEN,0.501,0.36
2015,688,SRB,0.794,31.82
2015,690,SYC,0.797,0.11
2015,694,SLE,0.438,0.09
2015,699,IND,0.619,0.32
2015,702,SGP,0.935,17.2
2015,703,SVK,0.852,147.97
2015,704,VNM,0.697,26.69
2015,705,SVN,0.903,380.39
2015,710,ZAF,0.721,8.78
2015,716,ZWE,0.544,2.16
2015,724,ESP,0.889,31.49
2015,729,SDN,0.514,0.01
2015,740,SUR,0.707,53.04
2015,748,SWZ,0.577,62.66
2015,752,SWE,0.937,390.66
2015,757,CHE,0.952,66.35
2015,764,THA,0.789,30.71
