year,country_code,country_code_letter,HDI_value,dollar_per_capita
2014,682,SAU,0.836,4.66
2014,686,SEN,0.501,1.43
2014,688,SRB,0.787,10.17
2014,694,SLE,0.447,34.51
2014,699,IND,0.611,1.03
2014,702,SGP,0.932,10.81
2014,703,SVK,0.851,7.42
2014,704,VNM,0.693,1.85
2014,705,SVN,0.903,6.61
2014,710,ZAF,0.714,212.94
2014,716,ZWE,0.539,25.9
2014,724,ESP,0.884,39.99
2014,729,SDN,0.511,0.38
2014,740,SUR,0.701,0.07
2014,748,SWZ,0.56,30.33
2014,752,SWE,0.935,344.95
2014,757,CHE,0.951,2.04
2014,764,THA,0.785,1.42
2014,768,TGO,0.502,0.3
2014,780,TTO,0.806,44.75
2014,784,ARE,0.853,4.15
2014,788,TUN,0.721,0.28
2014,792,TUR,0.812,18.13
2014,800,UGA,0.518,0.13
2014,804,UKR,0.774,75.53
2014,807,MKD,0.769,90.05
2014,818,EGY,0.688,0.17
2014,826,GBR,0.924,3.84
2014,834,TZA,0.506,14.17
2014,842,USA,0.923,26.19
2014,854,BFA,0.403,0.74
2014,858,URY,0.805,0.31
2014,887,YEM,0.485,0.0
2014,894,ZMB,0.557,3.64
2015,4,AFG,0.479,0.1
2015,8,ALB,0.797,32.57
2015,12,DZA,0.736,0.04
2015,20,AND,0.856,0.12
2015,24,AGO,0.591,0.03
2015,31,AZE,0.751,0.67
2015,32,ARG,0.85,16.4
2015,36,AUS,0.933,2008.84
2015,40,AUT,0.91,3.77
2015,48,BHR,0.859,288.44
2015,50,BGD,0.604,0.05
2015,51,ARM,0.769,121.94
2015,52,BRB,0.798,0.0
2015,56,BEL,0.924,19.09
2015,68,BOL,0.688,153.04
2015,70,BIH,0.757,6.91
2015,72,BWA,0.688,24.23
2015,76,BRA,0.752,82.58
2015,90,SLB,0.562,4.22
2015,96,BRN,0.832,0.11
2015,100,BGR,0.809,76.46
2015,104,MMR,0.557,0.45
2015,108,BDI,0.42,0.12
2015,112,BLR,0.809,0.28
2015,116,KHM,0.564,0.0
2015,120,CMR,0.562,0.0
2015,124,CAN,0.927,184.91
2015,144,LKA,0.76,0.63
2015,152,CHL,0.846,826.31
2015,156,CHN,0.741,0.18
2015,170,COL,0.758,0.58
2015,178,COG,0.61,0.11
2015,180,COD,0.457,11.33
2015,188,CRI,0.792,0.01
2015,191,HRV,0.844,3.84
2015,203,CZE,0.891,1.89
2015,208,DNK,0.936,0.96
2015,214,DOM,0.739,6.5
2015,218,ECU,0.764,0.15
2015,222,SLV,0.663,0.1
2015,231,ETH,0.455,0.06
2015,233,EST,0.883,1.4
2015,242,FJI,0.716,2.63
2015,246,FIN,0.93,26.29
2015,251,FRA,0.893,3.01
2015,266,GAB,0.692,76.28
2015,268,GEO,0.798,73.49
2015,275,PSE,0.71,0.03
2015,276,DEU,0.941,4.51
2015,288,GHA,0.586,4.09
2015,300,GRC,0.881,6.3
2015,320,GTM,0.629,45.95
2015,324,GIN,0.449,48.98
2015,328,GUY,0.686,136.49
2015,340,HND,0.61,5.1
2015,344,HKG,0.936,4.54
2015,348,HUN,0.839,0.47
2015,352,ISL,0.948,0.35
2015,360,IDN,0.698,12.9
2015,364,IRN,0.782,8.8
2015,372,IRL,0.924,67.87
2015,376,ISR,0.899,0.03
2015,380,ITA,0.881,3.35
2015,384,CIV,0.501,0.8
2015,388,JAM,0.712,46.34
2015,392,JPN,0.913,1.11
2015,398,KAZ,0.799,59.95
2015,400,JOR,0.738,0.04
2015,404,KEN,0.575,2.62
2015,410,KOR,0.908,3.14
2015,414,KWT,0.829,0.04
2015,417,KGZ,0.689,3.28
2015,418,LAO,0.604,94.88
2015,422,LBN,0.756,0.04
2015,426,LSO,0.508,0.0
2015,428,LVA,0.853,0.31
2015,440,LTU,0.865,0.46
2015,442,LUX,0.914,18.02
2015,450,MDG,0.499,2.78
2015,454,MWI,0.498,0.01
2015,458,MYS,0.792,46.4
2015,470,MLT,0.887,0.06
2015,478,MRT,0.536,187.66
2015,484,MEX,0.769,32.2
2015,496,MNG,0.739,879.57
2015,498,MDA,0.749,0.0
2015,499,MNE,0.827,31.41
2015,504,MAR,0.656,6.69
2015,508,MOZ,0.445,5.7
2015,512,OMN,0.824,91.01
2015,516,NAM,0.627,187.72
2015,524,NPL,0.568,0.0
2015,528,NLD,0.932,56.67
2015,533,ABW,,0.0
2015,540,NCL,,837.34
2015,554,NZL,0.933,1.06
2015,558,NIC,0.644,0.06
2015,562,NER,0.367,20.15
2015,566,NGA,0.52,0.12
2015,579,NOR,0.952,45.53
2015,586,PAK,0.525,0.39
2015,591,PAN,0.802,0.0
2015,600,PRY,0.738,0.0
2015,604,PER,0.758,327.07
2015,608,PHL,0.696,15.58
2015,616,POL,0.869,0.92
2015,620,PRT,0.85,46.67
2015,634,QAT,0.852,2.1
2015,642,ROU,0.813,3.2
2015,643,RUS,0.823,13.55
2015,646,RWA,0.509,10.13
2015,682,SAU,0.842,5.58
2015,686,SEN,0.501,6.39
2015,688,SRB,0.794,5.43
2015,694,SLE,0.438,0.09
2015,699,IND,0.619,0.51
2015,702,SGP,0.935,8.21
2015,703,SVK,0.852,6.13
2015,704,VNM,0.697,1.41
2015,705,SVN,0.903,7.5
2015,710,ZAF,0.721,148.12
2015,716,ZWE,0.544,23.57
2015,724,ESP,0.889,35.79
2015,729,SDN,0.514,0.09
2015,740,SUR,0.707,763.94
2015,748,SWZ,0.577,0.0
2015,752,SWE,0.937,209.11
2015,757,CHE,0.952,2.77
2015,764,THA,0.789,1.43
2015,768,TGO,0.51,0.29
2015,780,TTO,0.812,207.63
2015,784,ARE,0.86,5.47
2015,788,TUN,0.724,0.21
2015,792,TUR,0.821,12.79
2015,800,UGA,0.525,0.06
2015,804,UKR,0.764,48.41
2015,807,MKD,0.777,72.87
2015,818,EGY,0.695,0.12
2015,826,GBR,0.923,4.13
2015,834,TZA,0.507,9.06
2015,842,USA,0.924,21.17
2015,854,BFA,0.413,0.0
2015,858,URY,0.807,0.12
2015,894,ZMB,0.563,2.12
2016,4,AFG,0.483,0.01
2016,8,ALB,0.795,34.41
2016,12,DZA,0.738,0.04
2016,20,AND,0.859,0.1
2016,24,AGO,0.595,0.0
2016,31,AZE,0.752,1.63
2016,32,ARG,0.848,22.49
2016,36,AUS,0.936,2034.96
2016,40,AUT,0.913,3.58
2016,48,BHR,0.862,548.89
2016,51,ARM,0.773,138.01
2016,52,BRB,0.801,0.0
2016,56,BEL,0.927,14.34
2016,68,BOL,0.7,165.99
2016,70,BIH,0.767,8.34
2016,72,BWA,0.697,0.05
2016,76,BRA,0.753,77.83
2016,84,BLZ,0.72,0.0
2016,90,SLB,0.564,0.94
2016,96,BRN,0.83,0.27
2016,100,BGR,0.81,79.57
2016,104,MMR,0.567,0.48
2016,108,BDI,0.423,0.32
2016,112,BLR,0.809,0.26
2016,120,CMR,0.566,0.0
2016,124,CAN,0.928,169.83
2016,144,LKA,0.765,0.51
2016,152,CHL,0.851,798.66
2016,156,CHN,0.749,0.19
2016,170,COL,0.763,0.82
2016,178,COG,0.606,0.17
2016,180,COD,0.466,10.1
2016,188,CRI,0.796,0.0
2016,191,HRV,0.85,4.38
2016,192,CUB,0.763,0.45
2016,196,CYP,0.881,0.01
2016,203,CZE,0.894,2.2
2016,208,DNK,0.943,1.02
2016,214,DOM,0.759,5.96
2016,218,ECU,0.761,2.07
2016,222,SLV,0.664,0.13
