year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2018,643,RUS,0.836,71.92,71.92,0.836,0.15903186810360348,0.7392290249433109,2
2019,643,RUS,0.839,54.51,54.51,0.839,0.11425190977134184,0.7460317460317463,1
2020,643,RUS,0.826,64.31,64.31,0.826,0.13945831940121917,0.7165532879818595,2
2013,702,SGP,0.93,13.04,13.04,0.93,0.007587643715116128,0.9523809523809528,1
2014,702,SGP,0.932,15.54,15.54,0.932,0.014017850253350134,0.9569160997732429,1
2015,702,SGP,0.935,11.5,11.5,0.935,0.0036266364875639813,0.9637188208616785,1
2013,688,SRB,0.785,67.93,67.93,0.785,0.14876925846858202,0.6235827664399096,2
2014,688,SRB,0.787,84.84,84.84,0.787,0.19226317549319685,0.6281179138321997,2
2015,688,SRB,0.794,68.56,68.56,0.794,0.150389670516217,0.6439909297052158,2
2016,688,SRB,0.8,72.62,72.62,0.8,0.16083232593430902,0.6575963718820865,2
2017,688,SRB,0.802,54.87,54.87,0.802,0.11517785951284754,0.6621315192743766,2
2018,688,SRB,0.808,70.61,70.61,0.808,0.15566243987756886,0.6757369614512474,2
2019,688,SRB,0.812,90.5,90.5,0.812,0.20682116309575863,0.684807256235828,2
2020,688,SRB,0.806,114.54,114.54,0.806,0.2686540291674169,0.6712018140589573,2
2013,740,SUR,0.7,69.7,69.7,0.7,0.1533218446976517,0.43083900226757366,2
2014,740,SUR,0.701,89.8,89.8,0.701,0.20502070526505312,0.43310657596371893,2
2015,740,SUR,0.707,17.77,17.77,0.707,0.019753594485454874,0.4467120181405897,2
2016,740,SUR,0.709,28.62,28.62,0.709,0.047660690861390465,0.4512471655328798,2
2017,740,SUR,0.71,51.14,51.14,0.71,0.10558399135780241,0.4535147392290251,2
2018,740,SUR,0.714,28.62,28.62,0.714,0.047660690861390465,0.4625850340136055,2
2019,740,SUR,0.71,38.03,38.03,0.71,0.07186398827130328,0.4535147392290251,2
2020,740,SUR,0.702,44.77,44.77,0.702,0.08919982509838216,0.435374149659864,2
2013,703,SVK,0.849,63.57,63.57,0.849,0.1375549782659019,0.7687074829931975,1
2014,703,SVK,0.851,70.75,70.75,0.851,0.15602253144370998,0.7732426303854878,1
2015,703,SVK,0.852,69.71,69.71,0.852,0.1533475655238046,0.7755102040816328,1
2016,703,SVK,0.855,71.4,71.4,0.855,0.15769438514365083,0.7823129251700682,1
2017,703,SVK,0.857,70.77,70.77,0.857,0.15607397309601584,0.7868480725623586,1
